Texto,Texto,Texto,,,,,
,,Richard Hilgert senior equity analyst at Morningstar said: “If international trade conflict heats up our forecast would need to be adjusted depending on the tariffs implemented. We included the assumption that the U.S. economy would gradually cool reducing our forecast to about 14.9 million light vehicle sales volume in 2020 before a mild recovery in 2021 and 2022.”,,,,,
,"Shares of Net Element Inc.NETE -12.36%

    were a rare highlight for bulls as they shot up 53% on heavy volume after the Florida-based financial technology company said its Unified Payments subsidiary launched a “secure and compliant” payment processing offering for the legal cannabis industry. Trading volume spiked to 9.8 million shares compared with the full-day average of about 81000 shares.",,,,,,
,,Have breaking news sent to your inbox. Subscribe to MarketWatch's free Bulletin emails. Sign up here.,,,,,
,,He suggests simple activities such as standing up and walking at a casual pace. “There is a lot of evidence now that sitting for long periods is bad for health” Ramadi said. His study enrolled 132 patients with coronary artery disease and an average age of 63 years, 77% were men. Participants wore an arm band activity monitor for an average of 22 hours a day for five days.,,,,
,,Trump said Saudi Arabia’s handling of the death of reporter Jamal Khashoggi was one of the “worst cover-ups in the history of cover-ups” but continued to defend U.S. arms sales to the Middle Eastern nation. Saudi Arabia has said Khashoggi died accidentally in a brawl in its consulate in Istanbul but Turkish officials says he was killed in an operation planned by Saudi officials.,,,,,
,Another divergence we haven’t seen since the 2015 top and before that the 2007 top is the relationship between consumer staples and the broader market.,,,,,,
,The sector continues to lose ground since adult recreational marijuana use became fully legal in Canada on Oct. 17. In the two months leading up to full-legalization the cannabis ETF had soared 46%.,,,,,,
,,“You never expect Snap to close the gap but that 22% gives you an idea of how much room there is to narrow the gap” he told MarketWatch in an interview.,,,,,
,Read: Millennials have more money than you think — so expect ESG funds in your 401(k),,,,,,
,“Today seemed like a microcosm of October—two way volatility sharp moves and acute turns which ultimately left both sides of the tape yearning for more by the close” said Frank Capelleri executive director of equity sales and trading at Instinet LLC.,,,,,,
,On Twitter the short seller also said that the early earnings might be a “bad sign” for shorts.,,,,,,
,,“While this increases the overall risk to our estimates we would rather see Snap ship a fully-vetted product” wrote Ju who has an outperform rating on the stock but cut his target to $12 from $15.,,,,,
,Read: Dow plunges amid corporate outlook China selloff,,,,,,
,,Using official data the UBS analysts estimated the amount of shares pledged for collateral at 4.2 trillion renminbi ($605.33 billion) equal to around 10% of total market cap. Around 800 billion to 900 billion renminbi worth of collateral is near the “forced liquidation line” which they said normally is a collateral coverage ratio of 140%. That’s equal to around 2% of overall A-share market cap or 5% of the free float.,,,,,
,,“With the press of a button the home was online and buyers began touring the home” Torstenson said. “However my listing agent was not giving the tours the buyer’s agents were. After the home sold I realized that my agent did very little to earn his share of (the commission)” he said.,,,,,
,,H-1B visa applications have been dropping. The federal government admits about 85000 immigrants under the program. Around the executive order’s signing administration officials said they received 99000 applications during that fiscal year reduced from the 236000 applications received the year earlier.,,,,,
,,"“That’s not something Facebook and Google GOOG +0.23%

    
GOOGL +0.32%

     are really doing” he said. Terry is upbeat on Snap’s stock—he rates the shares at buy with an $11 price target—but cautioned that Twitter worked on its issues for about two year before it started seeing a payoff in its stock price. Snap is in about Month 1 of its journey he said.",,,,,
,,“Overall the 62962 monthly observations over 323 years show a strong Halloween effect” write Cherry Yi Zhang assistant professor in finance at Nottingham University’s Business School in China and Ben Jacobsen professor of finance at the TIAS School of Business and Society in the Netherlands. And it’s not minor either.,,,,,
If you remove all the taxpayers reporting more than $200000 in income you cut out basically half the tax base. So since these are back-of-the-envelope numbers anyway let’s cut half of the price tag making it now $87 billion for one year or $1.12 trillion over a decade.,,,,,,,
